   43 Ariadne            E. Bowell        7.93  0.11 0.87  65.9 S       0   0   0   0   0   0 49521  363 20000605 218.845280  15.855944 265.031438  3.469983 0.16876114   2.20258633 20000326 5.0E-02 -1.6E-04 20000417 1.5E-01 20010510 1.5E-01 20010510 1.5E-01 20010510
   44 Nysa               E. Bowell        7.03  0.46 0.70  70.6 E       0   0   8   0   0   9 49621 1071 20000605  81.081142 342.595503 131.622099  3.702176 0.14813792   2.42396909 20000129 5.2E-02 -2.4E-04 20000417 3.9E-02 20010721 6.0E-02 20061224 6.8E-02 20110204
   45 Eugenia            E. Bowell        7.46  0.07 0.66 214.6 C       0   0   0   0   0   0 48865  630 20000605 324.734285  86.375986 147.974734  6.610784 0.08303171   2.72061770 20000326 5.8E-02 -3.2E-04 20000417 6.6E-02 20010718 7.2E-02 20050517 7.2E-02 20050517
   46 Hestia             E. Bowell        8.36  0.06 0.70 124.1 C       0   0   0   0   0   0 49660  525 20000605 177.059208 176.001594 181.237281  2.336540 0.17220449   2.52503844 20000405 6.4E-02 -3.8E-04 20000417 7.0E-02 20010526 9.6E-02 20061101 1.0E-01 20101030
   47 Aglaja             E. Bowell        7.84  0.16 0.66 127.0 C       0   0   0   0   0   0 51086  252 20000605  99.718845 315.402523   3.353492  4.983627 0.13329992   2.88203383 20000129 6.5E-02 -2.5E-05 20000417 1.3E-01 20010109 1.9E-01 20080712 1.9E-01 20080712
   48 Doris              E. Bowell        6.90  0.15 0.72 221.8 C       0   0   8   0   0   0 49665  477 20000605 261.811192 260.461927 183.960581  6.548944 0.07387220   3.10763123 19991102 4.9E-02  1.2E-04 20000417 9.9E-02 20001002 1.1E-01 20061118 1.1E-01 20061118
   49 Pales              E. Bowell        7.8   0.15 0.75 149.8 C       0   0   0   0   0   0 49778  365 20000605  70.497830 110.185088 286.224389  3.181602 0.23530711   3.08224287 20000326 6.4E-02 -3.3E-04 20000417 8.7E-02 20010402 1.3E-01 20091016 1.3E-01 20091016
   50 Virginia           E. Bowell        9.24  0.15 0.71  99.8         0   0   0   0   0   0 51881  487 20000605  22.026131 200.216944 173.823301  2.835016 0.28719279   2.65012680 20000129 3.1E-02  7.1E-05 20000417 7.9E-02 20010113 1.0E-01 20041202 1.0E-01 20041202
   51 Nemausa            E. Bowell        7.35  0.08 0.77 147.9 G       0   0   0   0   0   0 49827 3123 20000605  26.082832   3.289221 176.214096  9.967117 0.06677322   2.36586868 20000326 4.0E-02 -1.8E-04 20000417 3.1E-02 20010822 4.3E-02 20070215 4.9E-02 20110413
   52 Europa             E. Bowell        6.31  0.18 0.66 302.5 C       0   0   0   0   0   0 51012  955 20000605  70.650324 342.410953 129.042237  7.467389 0.10109428   3.09946937 20000326 4.8E-02 -2.5E-04 20000417 4.9E-02 20010528 5.7E-02 20050122 5.9E-02 20110227
   53 Kalypso            E. Bowell        8.81  0.15 0.71 115.4         0   0   0   0   0   0 47373  169 20000605 259.842028 312.358639 143.871056  5.153117 0.20491329   2.61758838 19990908 8.1E-02  2.3E-04 20000417 1.6E-01 20000912 2.5E-01 20060105 2.5E-01 20060105
   54 Alexandra          E. Bowell        7.66  0.15 0.70 165.8 C       0   0   0   0   0   0 49814  197 20000605 294.659539 344.965141 313.542930 11.826732 0.19936006   2.71023649 20000326 1.5E-01 -3.3E-04 20000417 1.8E-01 20010903 2.0E-01 20050613 2.0E-01 20050613
   55 Pandora            E. Bowell        7.8   0.15 0.69  66.7 E?      0   0   0   0   0   0 49509  595 20000605 318.244520   4.772518  10.696336  7.183072 0.14240773   2.75911797 19990827 3.0E-02  9.2E-05 20000417 5.9E-02 20000911 6.3E-02 20051110 6.5E-02 20090819
   56 Melete             E. Bowell        8.31  0.15 0.69 113.2 l       0   0   0   0   0   0 49082  251 20000605  62.913626 103.024786 193.792720  8.076043 0.23430613   2.59855790 19991220 5.7E-02  9.0E-05 20000417 1.4E-01 20001201 1.4E-01 20030530 1.4E-01 20030530
   57 Mnemosyne          E. Bowell        7.03  0.15 0.83 112.6 S       0   0   0   0   0   0 51142  632 20000605   3.674325 213.816338 199.412799 15.207639 0.12043167   3.15234531 20000129 4.3E-02 -1.5E-05 20000417 8.4E-02 20001228 9.4E-02 20051030 9.3E-02 20051030
   58 Concordia          E. Bowell        8.86  0.15 0.69  93.4 C       0   0  16   0   0   0 49636  219 20000605 205.547629  30.934141 161.457697  5.056705 0.04363195   2.70217159 20000118 7.1E-02  9.8E-05 20000417 1.8E-01 20001208 1.8E-01 20001208 1.9E-01 20091220
   59 Elpis              E. Bowell        7.93  0.15 0.67 164.8 C       0   0   0   0   0   0 47147  266 20000605  78.238541 210.266526 170.331424  8.644547 0.11939578   2.71204739 20000326 6.2E-02 -1.4E-04 20000417 1.3E-01 20010306 1.4E-01 20030920 1.4E-01 20030920
   60 Echo               E. Bowell        8.21  0.27 0.85  60.2 S       0   0   0   0   0   0 48636  236 20000605 172.240932 270.463825 191.859422  3.600989 0.18227464   2.39384009 19990823 1.0E-01  5.7E-04 20000417 1.4E-01 20000703 2.0E-01 20051224 2.0E-01 20051224
   61 Danae              E. Bowell        7.68  0.15 0.85  82.0 S       0   0   0   0   0   0 48963  131 20000605  29.528696  14.422898 333.947731 18.192297 0.16513119   2.98590824 19991102 1.1E-01  4.8E-05 20000417 2.2E-01 20001209 2.9E-01 20090707 2.9E-01 20090707
   62 Erato              E. Bowell        8.76  0.15 0.71  95.4 C?      0   0   0   0   0   0 32626  331 20000605  92.884262 273.117610 125.776068  2.223484 0.18063915   3.11843999 20000326 6.8E-02 -3.4E-04 20000417 9.5E-02 20010326 1.4E-01 20090913 1.4E-01 20090913
   63 Ausonia            E. Bowell        7.55  0.25 0.90 103.1 S       0   0   0   0   0   0 50684  707 20000605 105.718901 295.290375 338.134626  5.785488 0.12465996   2.39681870 20000129 2.4E-02  2.3E-05 20000417 5.8E-02 20001128 8.1E-02 20060426 9.3E-02 20100616
   64 Angelina           E. Bowell        7.67  0.48 0.75       E       0   0   0   0   0   0 50698  263 20000605 290.431636 178.563430 309.558723  1.306444 0.12465042   2.68444762 20000118 6.1E-02  3.0E-05 20000417 1.7E-01 20001226 1.7E-01 20001226 1.8E-01 20100124
   65 Cybele             E. Bowell        6.62  0.01 0.67 237.3 C       0   0   0   0   0   0 50760  621 20000605 267.687265 106.337436 155.839697  3.547417 0.10355426   3.43459987 20000326 5.9E-02 -2.6E-04 20000417 9.4E-02 20010601 9.4E-02 20010601 9.3E-02 20010601
   66 Maja               E. Bowell        9.36  0.15 0.71  72.8 C       0   0   0   0   0   0 35240  333 20000605 238.934306  44.082208   7.745204  3.046047 0.17234610   2.64594354 20000301 6.1E-02  3.1E-04 20000417 8.2E-02 20000701 1.4E-01 20011112 1.4E-01 20011112
